Arbitrary ID,VQM-732,0Xe-933,dFL-450,EcW-351,nkn-474,yBR-806,6rZ-921,CVp-900,FBr-666,pwX-711,8Ak-004,Wvk-040,uuk-615,wwg-515,1Qu-701,JPn-336,5Dj-010,lW5-428,hGO-989,eIt-266,Bi0-209,mMA-166,iA6-055,GRe-728,ipU-508,r6v-183,OV3-829,6oP-633,Vd7-714,wyH-085,ckl-460,FdA-492,gtA-835,FT5-355,fws-845,aYK-906,CyJ-883,w15-391,spU-324,qK6-434,Y4t-949,jpJ-859,IK1-886,NuV-036,oFd-671,Aeb-277,zSF-424,BR9-197,IuA-546,wde-847
DRG-011,2.44514,,-2.11959,1.28784,,2.85499,-7.28601,-0.76603,,-2.41792,-5.76679,-3.46308,5.22459,-2.41748,5.04020,6.63849,-4.95457,-8.36188,-9.61233,,9.99816,-3.00079,3.00288,5.62466,3.03509,5.08466,8.99223,,-9.59240,-6.95235,-7.47558,3.38918,1.27939,-5.64071,,,-6.64422,2.14495,4.95851,-7.70934,,,-7.83803,,-3.76086,,,-2.06691,4.30029,-8.48007
DRG-012,3.81229,2.54485,-7.96197,5.44962,7.00586,2.00823,-7.57890,,5.65271,-3.05592,-1.43244,,,-3.17538,6.99151,6.44662,-7.88922,9.21575,2.71170,6.57415,4.14617,-1.29026,,,-4.59835,6.16398,0.76346,-0.33005,-1.28851,4.62052,-4.63209,7.03426,,,7.63262,,-0.70583,2.20663,-2.42021,-9.42600,7.01906,-6.36320,-5.75760,5.95665,-3.19322,7.60640,4.02368,-4.47463,-9.79698,8.96125
DRG-013,-8.28774,4.40149,-0.22844,5.16329,3.81219,2.91806,-0.18357,,,-5.56807,3.83574,-3.87588,1.63111,-0.53479,,-1.48992,,-3.38417,4.05710,-4.58167,,-7.58688,-6.14831,-7.60891,0.71728,,-6.29700,-5.67231,-0.31603,4.49170,9.53214,0.49274,,-7.98948,-6.11765,-5.45034,,-9.71703,0.68270,-4.51377,9.48590,1.06718,3.94835,-7.47441,,,7.45439,,-0.61206,-1.19062
DRG-014,-6.31273,,8.82127,,6.44231,-1.98585,-8.51836,2.58891,-8.92782,-7.01605,1.25679,-3.92329,,-7.63097,5.28887,2.12635,5.81482,-5.48626,0.45145,-0.98971,-1.14558,,,,2.42055,2.19262,4.80179,,-5.84424,,3.20856,-6.85886,-6.52373,,-9.94649,-0.98993,1.87622,-4.17481,,4.13912,4.05975,-0.91937,3.74770,8.47822,5.75656,2.50116,3.22366,,-1.49722,0.89125
DRG-015,2.95269,8.16823,6.53262,-8.57180,-6.68154,-3.84776,4.97915,,-4.22779,-7.51293,3.77356,,,0.00944,-0.12410,-8.39116,-9.20278,-1.35943,-3.55357,,-8.17346,,6.71917,1.50398,9.01573,9.99145,3.44563,-4.60978,-9.19537,5.12538,-0.58998,3.03019,8.32146,,,2.69569,,-8.17515,-3.04078,-3.33383,3.40267,7.15466,-3.40393,3.87347,-4.23564,8.90387,6.27132,1.00193,-0.90348,-3.70966
DRG-016,-3.53452,9.40369,-1.91650,0.29193,9.76238,3.15321,0.85187,-1.73505,-6.24835,-2.76441,5.12886,2.50817,5.19981,-5.92884,0.98439,8.55346,,3.96500,-7.57148,9.46294,2.17743,-5.21405,,1.01678,1.04503,-8.13582,9.84514,8.25860,-0.77104,-7.65068,6.64286,-0.03249,4.33207,0.17744,-4.53150,6.69448,9.60489,-5.12538,1.02530,-2.32828,8.43736,0.16482,7.58653,7.28054,-4.47505,5.80012,-1.70115,8.68497,0.15475,6.41099
DRG-017,,-4.02888,1.73875,9.97805,-0.20719,-7.02809,0.77161,-3.09752,1.03835,,-0.89311,,-6.22695,3.94997,1.43595,-5.32875,,-9.12705,4.89410,4.10456,6.22818,,3.27378,6.41495,9.61636,-0.09343,-9.25961,0.04582,,7.39401,,-1.19388,,-0.86144,4.44888,-1.80043,3.09563,-6.91278,-0.61019,9.38407,,,2.99673,7.03531,7.04683,7.18684,-2.39981,-3.66678,4.37435,5.18804
DRG-018,,-9.28202,-8.63159,2.62322,8.41858,9.94852,4.93533,-1.32057,-8.03114,2.67496,7.45158,-1.12643,3.88002,8.06848,-9.08018,5.92287,-4.13264,,-7.08860,0.62333,1.31856,5.85039,,-8.42063,,2.39421,-5.18340,8.25658,-7.13765,,,-4.89347,-9.81205,,8.02419,3.55222,-6.84049,-1.16540,-3.08869,,2.77877,-1.51382,,6.90608,-6.01566,-2.30614,-0.33584,,,1.49624
DRG-019,9.85384,-4.09538,9.55889,3.16460,-4.51039,1.31858,3.71599,4.89338,-9.01911,2.12813,,8.08311,-4.27612,5.97720,,-2.95358,2.73236,2.41782,3.55529,,3.18363,6.76674,2.56496,8.06807,2.92681,-3.82134,,1.59148,4.64720,-8.19733,-4.09779,4.94962,-6.48720,-7.35680,0.78816,,0.61705,,6.60945,-4.86060,6.49380,-0.36304,6.12977,4.93119,-3.22569,-7.69661,9.25787,-7.18486,,7.20281
DRG-020,4.48433,9.59884,9.34539,,,5.81364,,0.73145,-0.90428,,3.44682,1.69120,6.44835,8.80584,-7.83308,-5.32356,-9.49951,7.68470,,,-5.57266,-8.73566,6.47711,8.18775,-3.95620,,-7.20446,,,-0.14751,,7.74519,-7.28672,-0.92712,3.40972,4.86280,8.91948,,4.84538,-6.90954,-1.70231,-8.01957,-0.21306,,9.03043,-9.34567,-2.58940,-1.13234,9.01110,7.10900
DRG-021,-8.01291,,0.88932,9.55685,,-2.03721,,-7.55681,,-0.90565,3.25537,2.83409,1.94292,-9.57285,,,,1.29156,-8.62780,5.30315,,-5.68097,7.39391,,-7.04892,,-9.94329,7.16812,-7.10624,-7.40016,-4.98692,-6.51006,3.22115,-9.48440,-9.70279,5.79969,-5.24137,-3.52457,-6.51508,-8.95202,4.83436,0.52171,4.91331,-0.47508,,0.26476,-7.81892,0.07677,8.90831,-9.13270
DRG-022,5.66454,7.33962,0.42902,-0.83915,9.28052,-8.78349,-0.42036,-1.96765,3.72195,-0.19462,,,-8.38419,2.16595,-8.68636,,2.66153,0.96713,-3.49629,,0.61114,-0.92569,2.10854,,4.03559,7.05585,3.01833,,,-5.69954,-0.96890,-5.43013,-3.22137,-0.93002,-1.68021,,-1.46472,3.30216,-2.51398,-6.94722,8.45970,,6.63544,-8.13540,-8.06871,4.77592,6.23539,1.12741,1.72930,
DRG-023,,-7.55537,-2.92804,3.30681,5.00569,7.36184,4.42121,,2.00820,-2.96708,,,3.13473,,,6.90747,-2.64878,5.25211,1.48200,6.14443,6.90310,9.49093,,2.27147,2.85398,-9.47492,,6.58922,-4.65105,-6.39168,4.05398,-3.82031,-3.20351,-9.87788,,1.32642,,-7.16251,2.66344,,4.92224,-5.69734,-1.60335,-3.18208,-2.59894,,,1.35187,-8.30086,-8.94782
DRG-024,,2.35676,3.47937,,,-0.28677,,-4.53666,5.09886,-7.72365,-1.40173,,,-0.26734,3.34265,-9.09165,-2.09473,,-9.84626,-3.97161,-5.77532,-7.25530,-4.88961,,-9.84540,4.94028,-6.48610,-2.39585,4.07343,0.00525,6.66708,6.12400,-8.55849,7.23529,-9.15395,-9.62517,8.42325,7.24220,1.51518,1.46799,4.18998,-1.64612,-7.69653,-9.58287,,6.02644,2.36251,6.64052,8.39540,-8.23740
DRG-025,6.88969,,1.77743,0.47925,-2.08467,-3.79451,-3.20973,-3.33863,,0.20967,,0.19904,8.11845,-3.01249,4.54758,6.37897,6.30074,-5.27462,-7.07112,-6.05456,2.04798,5.20431,3.11018,-6.45708,,,5.08892,5.19754,-1.02189,8.48309,1.28984,2.70597,,7.28494,2.54435,,,-1.15584,-3.94359,-4.50653,-8.87656,0.14674,-3.79184,-0.96172,,6.63393,,7.28500,7.10587,2.30017
DRG-026,0.14136,,1.08633,5.83636,7.91754,-1.00533,6.19632,,-3.56946,,-6.98278,-8.76253,,7.98254,-3.13124,4.28631,,-6.54882,-5.04513,,,0.45496,,-2.54296,-4.34213,-1.82461,-3.23266,1.95772,5.78454,2.94611,-8.68176,-8.10988,3.56759,,4.47467,3.13128,,7.46559,,1.65479,,-3.00358,9.35393,3.96960,-2.16084,1.90082,,-3.80836,-2.46641,5.83324
DRG-027,6.26370,3.40233,,4.77549,3.70829,0.52787,,-1.53187,-2.76344,-2.74805,,-5.71615,8.95337,-0.27458,-5.46914,-7.24869,-8.45670,,,5.41749,6.70240,7.67364,,-3.26471,5.32615,-7.37902,-2.46560,-6.75506,6.62690,5.42196,6.18087,-6.68922,-1.24653,-1.78283,3.52726,-5.24940,,-4.30144,,-1.02144,,-3.81064,,-0.61969,6.70227,-2.64318,8.94260,9.68880,-0.76640,-4.36457
DRG-028,-2.36255,0.54920,9.32536,6.33782,6.02518,-7.23203,-4.99994,2.82358,,1.09081,-7.94821,6.91785,7.02332,-4.29874,5.26234,-4.54417,8.10612,-7.05303,-1.25055,8.92827,-5.55924,-0.97744,,-9.46660,-8.93486,0.04014,-5.28444,9.89051,-2.50175,-9.43625,8.61652,6.78353,2.99921,,-7.24801,-4.26241,6.59523,3.92144,-7.22415,4.11072,-1.02797,-9.89498,-8.41548,-4.88152,6.69926,0.97608,4.54470,0.55543,-7.77626,-4.23797
DRG-029,-3.97698,-9.04501,-1.60349,5.87798,-0.85773,-7.78284,8.10294,,-9.67129,,-5.16124,-7.12846,-1.41522,2.29619,-5.18872,-1.66865,3.28743,-8.28772,,-8.64641,,0.14655,9.76663,1.08304,-2.19093,-0.59730,2.71342,9.62079,-4.92699,-9.67516,5.77040,-3.10395,4.65882,2.56514,5.43003,4.70374,-3.34963,-9.11329,,,,5.58285,-0.70754,,2.63472,6.22995,-8.73799,5.52381,-0.84641,
DRG-030,-9.12387,-6.01060,-9.16188,,0.30767,9.78245,0.86061,,5.06582,-6.17793,-2.86052,5.61683,7.31597,-3.36151,,-2.63962,7.78973,,,,,-0.07594,-0.04953,8.48621,0.38552,,,-8.42146,2.04907,,0.90949,-3.57577,-8.39862,3.21838,-3.87008,2.05243,-1.47768,3.79530,-2.96906,-9.15290,,-2.94881,9.96301,-4.50889,9.60055,8.95809,,2.75025,-2.73378,6.02192
DRG-031,3.58821,9.05579,-7.14441,2.15146,5.62624,,,5.57031,,-2.34291,1.34489,,3.58124,8.97647,-2.55973,5.26169,1.47844,0.58920,-2.03932,2.99121,-5.00777,-7.73103,4.71350,,,,-4.76447,,-1.07454,9.92730,-4.28846,8.32958,-0.17600,-7.54725,7.05653,-0.95915,,-1.09778,-8.24419,3.63859,6.91042,,-3.05149,-8.70122,0.84343,7.82663,7.02724,4.23618,8.54649,2.75400
DRG-032,5.87393,0.17511,-7.57275,-5.98039,-7.22246,5.80746,-9.47432,1.08043,-2.62178,6.07323,1.03294,2.23897,-8.27569,-3.81419,9.99190,4.37739,,,,,9.44759,2.84677,,3.60218,-3.10970,7.55920,5.60526,2.79588,-6.36074,9.32529,,8.21425,-8.89174,-7.51678,,-6.70686,-3.54678,4.18664,-3.07954,8.81808,,6.91867,-4.98789,2.70114,1.01683,-7.49659,-3.94351,0.66956,0.05146,-6.62728
DRG-033,,-6.91611,3.17466,4.41266,,6.85060,1.27236,6.50473,,,2.82907,1.53542,3.02260,5.33918,-1.66826,,-0.03924,,-4.20657,9.13300,-0.34110,6.09376,3.69982,,-8.54054,-8.80174,-1.20789,-0.31498,-5.91954,,,4.36726,4.68400,7.21555,9.50748,-7.38468,-2.58920,1.23302,-3.61768,-0.67055,,-5.04162,,,-2.31700,2.30755,-5.03459,,-6.80601,-3.45128
DRG-034,,,5.26243,-0.03469,0.29450,-0.02481,,-9.53647,8.90466,,9.33373,-5.69711,-2.94210,-8.98919,-0.10212,,3.08520,-0.58826,0.73381,6.94345,-1.38144,7.64911,4.55016,5.27714,-2.68125,-1.98837,1.40563,-6.10689,1.06446,,0.08511,5.28808,-4.40559,9.78181,3.60797,-7.62378,,,5.89794,-3.21829,8.77897,,-6.01884,0.18245,0.00156,-9.09393,,-3.33919,-0.52512,-0.86023
DRG-035,2.12521,,-3.44068,2.26136,,9.81231,4.78639,-4.01531,-3.27253,6.56579,0.64680,4.17480,-4.00419,,-2.63284,3.47613,9.59796,,5.93510,,3.76087,-9.46706,-0.50820,,5.65808,5.52324,1.55269,4.42800,1.67047,,2.58050,2.39472,6.82334,-7.04449,,-9.36859,8.96410,-7.80209,-9.62125,-3.72615,-6.97137,3.81001,-1.79245,5.49945,8.41042,7.45635,4.71675,,-7.23835,-5.85317
DRG-036,-3.49901,3.24454,,-3.72495,-6.53635,8.24248,-3.15346,-2.91426,,,2.86618,3.86627,2.20153,-6.15472,-5.06962,1.16173,-5.50266,9.45821,-4.04771,-4.21992,-5.85444,4.09977,-3.65919,-3.02394,,5.90811,-4.53085,-7.56252,,,9.60321,,9.09218,6.09232,-4.19095,-4.24739,4.28283,-3.07273,-1.15248,-4.87112,-0.41841,,0.77156,8.66048,3.92343,-7.25454,2.31354,1.73661,-5.15084,3.39668
DRG-037,0.62083,2.75889,,-1.73397,4.34716,,5.41532,,1.00705,8.58199,-1.86185,8.70064,,-0.45103,-6.01088,9.27828,,2.91796,8.15874,-8.21079,1.48267,0.70305,,8.73339,8.26459,-6.49870,,-6.48423,8.39270,9.94344,-2.06011,-0.09232,8.73217,9.24263,8.52079,7.53486,-9.81466,1.35924,-7.85399,9.65988,-4.30877,,0.86601,-0.12175,8.77121,7.02119,-0.63958,-6.14377,-7.74706,-6.75011
DRG-038,-0.82171,,,4.73236,,1.35562,5.14566,,7.12293,7.94086,6.53980,0.30561,,3.38512,,-7.18776,-3.52797,-5.03906,-4.78429,,,9.08070,-3.96108,4.45765,-9.77129,3.07367,3.85537,,,,-1.89167,,,4.07114,-3.78044,-7.65169,8.32261,-4.09925,,-5.61743,-7.32862,-6.93629,,2.11478,-1.68309,0.98469,-0.58344,,3.28189,-5.63177
DRG-039,,5.09479,7.46270,-8.36259,-1.06504,,-8.43795,1.28337,,0.95298,0.10974,1.45403,-7.00295,-3.43765,0.40683,-7.67520,-5.89197,1.66295,-8.18117,0.20751,6.17384,-0.93135,0.26496,-0.86403,-8.84526,-0.75243,6.13831,4.46560,-2.08103,,4.91609,1.56623,,-3.10942,-8.72480,9.88247,8.69166,-8.61962,8.67551,-9.36530,,5.37944,,9.56667,2.91762,-1.59276,9.85713,-2.35041,7.39241,8.13535
DRG-040,-2.48709,3.65461,3.23585,,3.07068,-3.04460,,0.74517,0.57685,4.55716,-5.54620,-9.93053,,-4.03274,,0.88891,0.63867,6.46721,-5.04976,-3.07681,-4.48701,8.74821,4.50048,-7.74311,6.18956,-1.61519,5.32107,7.67513,-9.68708,-5.87837,-7.98207,-9.32847,1.95570,4.06573,-9.02647,,-1.95469,,-5.65462,7.27460,-8.87112,0.07792,-4.21473,6.31573,4.63035,-3.62193,1.95835,3.45064,-3.58670,
DRG-041,-7.13479,3.20425,-5.57915,-3.98998,,8.97041,7.59428,8.23155,2.51986,-1.45599,-0.08758,9.44580,8.83173,3.42685,5.71609,,-1.67351,-7.01565,-2.47080,5.08832,,6.98682,-3.98527,,6.11552,8.29482,,,1.14574,-7.31814,-5.14283,-5.93327,,,6.94267,-8.15072,4.49169,-6.19037,-4.63077,3.47344,2.05844,7.47241,-6.23673,,4.48610,1.17701,,7.38948,,9.14040
DRG-042,-9.69333,8.74320,,-7.65368,9.99144,-0.42158,,,-5.90974,8.30253,1.04159,5.51028,-2.38677,0.67300,-2.81481,-4.76877,0.25633,-0.05445,-8.02784,9.62637,,6.79462,8.28661,-2.58590,,,-5.57452,-7.08155,-4.78452,8.69517,1.58286,-1.64844,-6.95177,-3.40269,,6.66725,-0.01397,,3.69693,,6.43184,9.33017,,-0.18809,,5.89951,-6.61469,4.40627,-0.23367,8.33799
DRG-043,0.84274,2.83619,-8.82536,,6.93395,8.90376,3.36431,,-1.75216,6.85089,-5.37133,,,0.11466,-2.53599,2.35670,3.33509,2.33039,,-0.24291,,1.03287,-9.76298,0.58835,-4.50519,9.54959,-9.65715,,,6.12335,8.19547,-7.85967,-8.07372,-7.02205,-6.16136,0.52912,6.30429,-4.65351,-2.06207,-2.53897,-1.87945,1.30004,,-5.48285,3.68083,,3.07471,7.16438,5.19172,-8.12999
DRG-044,-2.41472,1.05403,-8.87770,-9.81100,-6.57233,-0.00283,-1.32181,5.68753,1.31713,7.15921,-8.09276,0.56318,-9.14896,,7.36234,7.75109,-0.48999,-9.06876,-8.51304,8.51170,,1.27020,,8.57533,-3.71031,9.22938,1.74072,5.04509,4.25423,-2.03408,,-6.75099,-5.19056,6.69301,-2.21687,7.93052,-3.36540,,-7.20099,,4.48327,0.01586,9.48647,-8.92607,-1.25823,6.77349,-3.18815,,9.09717,-2.06594
DRG-045,5.47110,-9.40749,,,-0.18793,-2.88378,8.82286,-1.36304,3.59390,3.21344,-8.28612,2.37232,5.96110,4.26217,-8.35924,-6.91558,4.23354,2.67802,,-3.66644,-7.86898,-9.89610,-3.83465,-2.80165,,-7.34986,-6.25216,-1.02313,1.09480,-1.83912,-9.47476,,-8.13871,1.96088,-3.51139,-2.29524,-4.16305,,-8.30601,8.02272,8.10415,,1.43921,-6.60834,-2.38536,-7.22320,-3.97737,-0.13752,-8.73466,-1.30647
DRG-046,-1.57795,-0.31537,-8.46157,-4.96601,-5.06820,,1.87613,-6.08904,,-3.90684,8.97647,-3.35566,,6.08153,,,,7.19017,9.48451,-7.27751,-3.58670,8.94558,-5.98297,-3.71633,9.29149,9.37450,-4.17104,3.89916,-0.17985,1.51759,-5.15151,-2.47889,6.32989,,-7.72224,1.27701,1.84454,0.91258,3.63425,1.00198,,,4.16734,-1.23090,-4.17338,3.85671,,5.91314,-1.81717,-0.01394
DRG-047,2.66672,-5.15958,3.17326,4.30473,,-8.52070,,,-1.98390,0.13225,8.40784,3.83418,0.87290,,,7.91003,0.73812,2.76361,,5.37908,3.15203,-2.89982,2.94000,,9.67216,3.54944,-2.00765,5.05366,,-1.39089,-9.78904,-4.82523,,0.37596,1.61037,1.50471,-1.08443,-2.17732,5.44684,1.77180,0.00932,-3.10065,-9.50875,-7.90901,-1.68049,9.23456,-7.67861,8.81352,-7.16650,-3.76219
DRG-048,,-5.86265,-0.34148,-0.47675,-1.23668,3.93527,-3.62181,-3.99472,6.20372,-7.69829,6.98360,2.95940,,,9.67801,,-6.51094,,1.19698,9.16925,-5.36289,-1.89905,-6.31096,2.80958,-1.35731,-9.41615,2.28214,-6.05351,1.84406,,4.09471,-5.88431,5.04651,,-8.74872,,7.43959,-6.26080,-3.48030,-0.84899,-4.75293,7.25273,0.55430,2.78217,1.93942,2.22617,1.74009,-3.04151,6.91036,2.34725
DRG-049,6.27477,4.11977,-4.05110,2.28969,-8.30496,-7.32104,,-3.89240,-6.33911,3.86873,0.21650,-1.63522,-7.24265,-2.32580,-6.28493,2.71003,,2.90520,9.99799,,-0.20716,-7.19407,-3.70840,-0.97998,-8.92777,-2.81922,-9.80833,-7.26931,,9.27658,0.10876,-0.10060,3.69393,,,-0.22601,-8.34659,,5.22113,-4.15820,,,-6.63582,-0.85357,4.85037,5.31839,0.99452,-7.73578,,5.50226
DRG-050,6.46566,-2.66276,6.45222,-9.16779,4.37960,0.92707,9.79551,-7.95167,6.60141,,-4.04582,,,-3.02846,6.33457,-1.21860,9.87915,5.51263,-5.26108,6.21405,1.75848,-2.98738,4.21508,2.65541,-6.68037,-7.21530,-5.86761,-5.86115,,,,,,,-4.21334,-4.65314,,9.70977,3.58599,-8.09550,,5.71382,,9.84972,7.34095,,7.32158,-5.00646,4.22790,6.56964
