Arbitrary ID,Drug Name (Brand),Drug Name (Generic),Drug Company,Dosage
DRG-024,Quflora Pediatric,"VITAMIN A ACETATE, ASCORBIC ACID, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL, DL-, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, LEVOMEFOLIC ACID, FOLIC ACID, CYANOCOBALAMIN, MAGNESIUM OXIDE, CUPRIC SULFATE, and SODIUM FLUORIDE","CarWin Pharmaceutical Associates, LLC",7.0mg
DRG-025,Metformin Hydrochloride,Metformin Hydrochloride,,6.3mg
DRG-026,Diazepam,Diazepam,Cardinal Health,7.5mg
DRG-027,Ambi Even and Clear Daily Moisturizer,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone","Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",9.4mg
DRG-028,Dr. JIs Arthritis Plus,"camphor, menthol, methyl salicylate",JI Well Health Company,0.3mg
DRG-029,Chicken Feathers,Chicken Feathers,"Nelco Laboratories, Inc.",1.1mg
DRG-030,CALCIUM ACETATE,CALCIUM ACETATE,,6.2mg
DRG-031,Mucus Relief Severe Congestion Cough,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",,4.3mg
DRG-032,Surmontil,Trimipramine Maleate,"Teva Women's Health, Inc.",6.0mg
DRG-033,Amoxicillin,Amoxicillin,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,8.5mg
DRG-034,Verapamil Hydrochloride,Verapamil Hydrochloride,"General Injectables & Vaccines, Inc",3.7mg
DRG-035,COMPLETE FLU CARE,"EUPATORIUM PERFOLIATUM FLOWERING TOP, BRYONIA ALBA ROOT, GELSEMIUM SEMPERVIRENS ROOT, EUPHRASIA STRICTA, POTASSIUM IODIDE, and CAIRINA MOSCHATA HEART/LIVER AUTOLYSATE",Hyland's,1.0mg
DRG-036,Pain Reliever PM,"Acetaminophen, Diphenhydramine HCl",Family Dollar (FAMILY WELLNESS),1.8mg
DRG-037,SYLATRON,peginterferon alfa-2b,Merck Sharp & Dohme Corp.,2.0mg
DRG-038,Imiquimod,Imiquimod,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",4.9mg
DRG-039,Klonopin,Clonazepam,"Genentech, Inc.",7.2mg
DRG-040,Benazepril Hydrochloride,benazepril hydrochloride,,8.6mg
DRG-041,FNG,"Echinacea angustifolia, Hydrastis canadensis, Lapachoplex, Lomatium, Nasturtium aquaticum, Propoloplex, Tabebuia impetiginosa,",,5.3mg
DRG-042,Coast Maple,Coast Maple,,1.2mg
DRG-043,QVAR,beclomethasone dipropionate,"Teva Respiratory, LLC",2.1mg
DRG-044,GAP Favorite Lip Balm,Octinoxate and Oxybenzone,,6.5mg
DRG-045,NANOMIX BODY CARE,Dimethicone,"NANOPOLY CO., LTD.",4.6mg
DRG-046,,Octinoxate,,9.1mg
DRG-047,Hangover Relief,"Arsenicum album, Asarum europaeum, Avena sativa, Bryonia, Capsicum annuum, Carbo vegetabilis, Carboneum sulphuratum, Cinchona officinalis, Gelsemium sempervirens, Nux vomica, Paullinia sorbilis, Sulphuricum acidum",,0.4mg
DRG-048,La Vaquita,"Methyl Salicylate, Menthol",Delon Laboratories (1990) Ltd,6.5mg
DRG-049,Duloxetine,Duloxetine Hydrochloride,,1.4mg
DRG-050,BLATELLA GERMANICA,GERMAN COCKROACH,,5.1mg
